"cvss2_score","cve","updated","severity","condition","cvss3_score","Title","Architecture","Version","external_references","detection_time","Name","published"
10,"CVE-2019-7104","2020-08-24","Critical","less than or equal 12.3.4.204",9.8,"CVE-2019-7104 affects Adobe Shockwave Player 12.3","x86","12.3.1.201","[""https://helpx.adobe.com/security/products/shockwave/apsb19-20.html"",""https://nvd.nist.gov/vuln/detail/CVE-2019-7104""]","2023-09-11T22:17:54+00:00","Adobe Shockwave Player 12.3","2019-05-23"
0,"CVE-2023-22018","2023-07-27","High","greater than or equal 6.0.0 and less than 6.1.46",8.1,"CVE-2023-22018 affects Oracle VM VirtualBox 6.1.34","x64","6.1.34","[""https://www.oracle.com/security-alerts/cpujul2023.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-22018""]","2023-09-11T22:17:59+00:00","Oracle VM VirtualBox 6.1.34","2023-07-18"
0,"CVE-2023-22017","2023-07-27","Medium","greater than or equal 6.0.0 and less than 6.1.46",5.5,"CVE-2023-22017 affects Oracle VM VirtualBox 6.1.34","x64","6.1.34","[""https://www.oracle.com/security-alerts/cpujul2023.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-22017""]","2023-09-11T22:17:59+00:00","Oracle VM VirtualBox 6.1.34","2023-07-18"
0,"CVE-2023-22016","2023-07-27","Medium","greater than or equal 6.0.0 and less than 6.1.46",4.2,"CVE-2023-22016 affects Oracle VM VirtualBox 6.1.34","x64","6.1.34","[""https://www.oracle.com/security-alerts/cpujul2023.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-22016""]","2023-09-11T22:17:59+00:00","Oracle VM VirtualBox 6.1.34","2023-07-18"
0,"CVE-2023-22002","2023-04-20","Medium","less than 6.1.44",6,"CVE-2023-22002 affects Oracle VM VirtualBox 6.1.34","x64","6.1.34","[""https://www.oracle.com/security-alerts/cpuapr2023.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-22002""]","2023-09-11T22:17:59+00:00","Oracle VM VirtualBox 6.1.34","2023-04-18"
0,"CVE-2023-22001","2023-04-19","Medium","less than 6.1.44",4.6,"CVE-2023-22001 affects Oracle VM VirtualBox 6.1.34","x64","6.1.34","[""https://www.oracle.com/security-alerts/cpuapr2023.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-22001""]","2023-09-11T22:17:59+00:00","Oracle VM VirtualBox 6.1.34","2023-04-18"
0,"CVE-2023-22000","2023-04-19","Medium","less than 6.1.44",4.6,"CVE-2023-22000 affects Oracle VM VirtualBox 6.1.34","x64","6.1.34","[""https://www.oracle.com/security-alerts/cpuapr2023.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-22000""]","2023-09-11T22:17:59+00:00","Oracle VM VirtualBox 6.1.34","2023-04-18"
0,"CVE-2023-21999","2023-04-20","Low","less than 6.1.44",3.6,"CVE-2023-21999 affects Oracle VM VirtualBox 6.1.34","x64","6.1.34","[""https://www.oracle.com/security-alerts/cpuapr2023.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-21999""]","2023-09-11T22:17:59+00:00","Oracle VM VirtualBox 6.1.34","2023-04-18"
0,"CVE-2023-21998","2023-04-19","Medium","less than 6.1.44",4.6,"CVE-2023-21998 affects Oracle VM VirtualBox 6.1.34","x64","6.1.34","[""https://www.oracle.com/security-alerts/cpuapr2023.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-21998""]","2023-09-11T22:17:59+00:00","Oracle VM VirtualBox 6.1.34","2023-04-18"
0,"CVE-2023-21991","2023-04-19","Low","less than 6.1.44",3.2,"CVE-2023-21991 affects Oracle VM VirtualBox 6.1.34","x64","6.1.34","[""https://www.oracle.com/security-alerts/cpuapr2023.html"",""https://nvd.nist.gov/vuln/detail/CVE-2023-21991""]","2023-09-11T22:17:59+00:00","Oracle VM VirtualBox 6.1.34","2023-04-18"
